DepartamentoCodigo	MateriaCodigo	MateriaDescripcion	totalProfesores	conTituloCompatible	conTituloYFormacionCompatible
-1	343	METEOROLOGIA                                      	1	0	0
-1	347	EDUCACION RITMICA                                 	1	0	0
-1	352	ORIENT. EDUCACIONAL Y SOCIOLABORAL (EDUC. EN VALOR	1309	139	81
-1	353	FARMACOLOGIA                                      	99	17	10
-1	360	ESTADISTICA/APLICADA/PROBABILIDAD                 	54	34	28
-1	361	ESTABILIDAD Y RESISTENCIA DE MATERIALES           	30	12	3
-1	362	ELECTRONICA ANALOGICA                             	23	17	2
-1	365	FILOSOFIA (E.M)                                   	43	5	4
-1	367	FRANCES                                           	10	9	5
-1	368	TECNOLOGIA AUTOMOTRIZ                             	11	10	4
-1	370	FISICA                                            	3124	830	802
-1	374	FRUTICULTURA                                      	1	1	0
-1	377	FOTOGRAFIA                                        	18	2	0
-1	378	FISIOLOGIA/DEL EJERCICIO                          	1	0	0
-1	379	LABORATORIO DIESEL                                	6	0	0
-1	380	GENETICA                                          	2	1	1
-1	382	GABINETE DE GESTION                               	4	3	2
-1	383	GABINETE DE INFORMATICA - LABORATORIO             	325	276	108
-1	384	GANADO MAYOR                                      	126	85	16
-1	387	GRAFICA COMPUTARIZADA                             	25	9	1
-1	388	GANADO MENOR                                      	146	93	14
-1	391	GEOLOGIA                                          	20	0	0
-1	392	ANALISIS INDUSTRIAL ORGANICO                      	4	0	0
-1	393	PEDAGOGIA Y METODOLOGIA ESPEC. AL SORDO           	1	0	0
-1	397	POLITICA/FILOSOFIA POLITICA                       	1820	1092	958
-1	403	PORTUGUES                                         	23	5	4
-1	406	ANALISIS DEL DISCURSO                             	188	119	108
-1	407	COMUNICACION ORAL                                 	5	3	3
-1	408	LOGICA MATEMATICA (Y TEORIA DE CONJUNTOS) (ED. SUP	46	37	32
-1	409	LABORATORIO DE ELECTROTECNIA(ELECTROT.-LABORAT)   	69	35	12
-1	411	TALLER MECANICO                                   	26	9	2
-1	412	ELECTRICIDAD Y ELECTRONICA DEL AUTOMOVIL          	10	1	0
-1	413	CALCULO DIFERENCIAL E INTEGRAL                    	10	0	0
-1	414	QUIMICA ANALITICA                                 	15	14	11
-1	415	FISICO-QUIMICA                                    	16	12	9
-1	416	MICROBIOLOGIA INDUSTRIAL                          	13	3	1
-1	417	TALLER DE SERVICIOS INDUSTRIALES                  	13	2	1
-1	418	MERCADOTECNIA Y GABINETE (INFORMATICA)            	29	14	8
-1	419	SEMINARIO CONTABLE/GABINETE CONTABLE              	522	481	329
-1	420	GUARANI (GUARA ÑEE                                	4340	3961	3831
-1	421	HIGIENE HOSPITALARIA                              	1	0	0
-1	422	HIDRAULICA Y MAQUINAS HIDRAULICAS                 	1	0	0
-1	424	HORTICULTURA                                      	12	2	0
-1	426	HISTORIA DEL DISEÑO                               	15	0	0
-1	429	PATOLOGIA/PATOLOGIA GENERAL                       	87	28	6
-1	434	EQUIPOS E IMPLEMENTOS (AGRICOLA)                  	3	0	0
-1	435	INGLES                                            	2012	844	753
-1	436	INFORMATICA / APLICACIONES INFORMATICAS           	551	317	127
-1	437	INSTALACIONES/ELECT.(DIB.TEC.TALLER-DIS-PROY-PRES)	59	21	8
-1	439	INSTALACION INDUSTRIAL                            	2	0	0
-1	443	ITALIANO                                          	3	1	1
-1	452	INTRODUCCION A LA ECONOMIA                        	256	204	140
-1	454	ILUSTRACION                                       	28	9	9
-1	455	INDUSTRIA GRAFICA                                 	13	0	0
-1	459	ORIENTACION EDUCACIONAL Y RELACIONES HUMANAS      	2	0	0
-1	478	PROYECTO SUPERVISADO EN PRODUCCION VEGETAL        	1	0	0
-1	480	LABORATORIO                                       	14	4	3
-1	482	LABORATORIO DE MECANICA                           	27	1	0
-1	483	LABORATORIO DE MATERIALES Y ENSAYOS               	2	0	0
-1	486	LABORATORIO DE ELECTRONICA                        	18	13	1
-1	489	LABORATORIO DE QUIMICA/QUIMICA PRACTICA           	11	9	8
-1	492	PROYECTO EDUCATIVO DE APOYO A PRACTICA (FISICA    	1	0	0
-1	505	SANEAMIENTO / SANEAMIENTO AMBIENTAL               	1	0	0
-1	506	ALIMENTACION BASICA                               	1	0	0
-1	510	LEGISLACION                                       	3	3	3
-1	511	LEGISLACION TRIBUTARIA                            	4	0	0
-1	512	CIENCIAS SOCIALES/CIENCIAS SOCIALES Y SUS TECNOLOG	102	69	65
-1	514	LEGISLACION APLICADA                              	11	11	9
-1	519	LITERATURA EXTRANJERA (INGLESA                    	1	1	1
-1	543	GRAMATICA DESCRIPTIVA DEL CASTELLANO (ED.SUP)     	1	0	0
-1	550	LEGISLACION COMERCIO EXTERIOR                     	1	0	0
